time,heartrate,watts,temperature,interval
2128,154,242,varm,4
2129,154,241,varm,4
2130,154,236,varm,4
2131,155,230,varm,4
2132,155,227,varm,4
2133,155,229,varm,4
2134,155,238,varm,4
2135,156,241,varm,4
2136,156,238,varm,4
2137,156,233,varm,4
2138,157,226,varm,4
2139,158,222,varm,4
2140,158,233,varm,4
2141,158,240,varm,4
2142,158,241,varm,4
2143,159,238,varm,4
2144,159,221,varm,4
2145,159,226,varm,4
2146,160,227,varm,4
2147,160,233,varm,4
2148,161,233,varm,4
2149,161,235,varm,4
2150,161,255,varm,4
2151,162,241,varm,4
2152,162,239,varm,4
2153,162,232,varm,4
2154,163,232,varm,4
2155,163,233,varm,4
2156,163,232,varm,4
2157,163,238,varm,4
2158,164,235,varm,4
2159,164,242,varm,4
2160,164,239,varm,4
2161,164,234,varm,4
2162,165,230,varm,4
2163,165,228,varm,4
2164,165,231,varm,4
2165,165,232,varm,4
2166,166,236,varm,4
2167,165,232,varm,4
2168,166,242,varm,4
2169,166,240,varm,4
2170,166,242,varm,4
2171,166,237,varm,4
2172,166,227,varm,4
2173,166,225,varm,4
2174,166,226,varm,4
2175,167,225,varm,4
2176,166,233,varm,4
2177,167,232,varm,4
2178,167,228,varm,4
2179,167,231,varm,4
2180,167,233,varm,4
2181,167,232,varm,4
2182,168,234,varm,4
2183,168,234,varm,4
2184,169,235,varm,4
2185,169,231,varm,4
2186,169,238,varm,4
2187,170,238,varm,4
2188,170,245,varm,4
2189,169,239,varm,4
2190,170,236,varm,4
2191,169,233,varm,4
2192,169,233,varm,4
2193,169,233,varm,4
2194,170,232,varm,4
2195,170,233,varm,4
2196,170,244,varm,4
2197,171,242,varm,4
2198,170,235,varm,4
2199,171,235,varm,4
2200,171,232,varm,4
2201,171,231,varm,4
2202,171,232,varm,4
2203,171,237,varm,4
2204,171,237,varm,4
2205,171,238,varm,4
2206,172,239,varm,4
2207,172,233,varm,4
2208,172,230,varm,4
2209,171,229,varm,4
2210,172,227,varm,4
2211,172,228,varm,4
2212,172,226,varm,4
2213,172,227,varm,4
2214,172,236,varm,4
2215,172,232,varm,4
2216,172,224,varm,4
2217,172,223,varm,4
2218,172,223,varm,4
2219,171,228,varm,4
2220,171,244,varm,4
2221,171,238,varm,4
2222,171,239,varm,4
2223,171,228,varm,4
2224,171,227,varm,4
2225,172,229,varm,4
2226,172,232,varm,4
2227,172,233,varm,4
2228,172,237,varm,4
2229,172,233,varm,4
2230,172,237,varm,4
2231,172,231,varm,4
2232,173,228,varm,4
2233,173,229,varm,4
2234,172,225,varm,4
2235,172,226,varm,4
2236,172,227,varm,4
2237,172,232,varm,4
2238,172,238,varm,4
2239,172,238,varm,4
2240,172,231,varm,4
2241,172,234,varm,4
2242,172,231,varm,4
2243,172,232,varm,4
2244,172,230,varm,4
2245,170,233,varm,4
2246,170,232,varm,4
2247,170,231,varm,4
2248,170,227,varm,4
2249,170,226,varm,4
2250,170,225,varm,4
2251,168,227,varm,4
2252,168,228,varm,4
2253,168,227,varm,4
2254,169,233,varm,4
2255,169,234,varm,4
2256,169,238,varm,4
2257,169,232,varm,4
2258,170,233,varm,4
2259,170,226,varm,4
2260,171,228,varm,4
2261,171,232,varm,4
2262,171,238,varm,4
2263,171,238,varm,4
2264,172,239,varm,4
2265,172,238,varm,4
2266,172,239,varm,4
2267,172,232,varm,4
2268,173,232,varm,4
2269,173,234,varm,4
2270,173,239,varm,4
2271,173,234,varm,4
2272,173,232,varm,4
2273,173,233,varm,4
2274,173,231,varm,4
2275,173,227,varm,4
2276,174,226,varm,4
2277,174,228,varm,4
2278,173,232,varm,4
2279,172,234,varm,4
2280,172,231,varm,4
2281,172,234,varm,4
2282,172,239,varm,4
2283,172,239,varm,4
2284,172,224,varm,4
2285,172,222,varm,4
2286,173,228,varm,4
2287,172,233,varm,4
2288,171,226,varm,4
2289,171,233,varm,4
2290,171,233,varm,4
2291,171,232,varm,4
2292,171,237,varm,4
2293,172,233,varm,4
2294,171,233,varm,4
2295,172,233,varm,4
2296,171,234,varm,4
2297,171,232,varm,4
2298,171,232,varm,4
2299,172,232,varm,4
2300,172,232,varm,4
2301,172,231,varm,4
2302,173,228,varm,4
2303,173,230,varm,4
2304,173,232,varm,4
2305,173,232,varm,4
2306,173,240,varm,4
2307,174,234,varm,4
2308,174,231,varm,4
2309,174,238,varm,4
2310,174,236,varm,4
2311,174,234,varm,4
2312,174,245,varm,4
2313,175,247,varm,4
2314,175,255,varm,4
2315,175,252,varm,4
2316,175,235,varm,4
2317,175,227,varm,4
2318,174,227,varm,4
2319,174,226,varm,4
2320,174,233,varm,4
2321,174,237,varm,4
2322,174,239,varm,4
2323,173,238,varm,4
2324,173,239,varm,4
2325,173,233,varm,4
2326,173,232,varm,4
2327,173,227,varm,4
2328,173,232,varm,4
2329,173,232,varm,4
2330,173,232,varm,4
2331,172,231,varm,4
2332,173,228,varm,4
2333,173,232,varm,4
2334,173,233,varm,4
2335,173,239,varm,4
2336,173,233,varm,4
2337,173,237,varm,4
2338,174,240,varm,4
2339,174,250,varm,4
2340,174,251,varm,4
2341,174,252,varm,4
2342,173,241,varm,4
2343,174,236,varm,4
2344,173,240,varm,4
2345,173,231,varm,4
2346,173,226,varm,4
2347,173,232,varm,4
2348,173,240,varm,4
2349,173,243,varm,4
2350,173,244,varm,4
2351,173,238,varm,4
2352,173,231,varm,4
2353,173,222,varm,4
2354,173,221,varm,4
2355,173,232,varm,4
2356,173,243,varm,4
2357,173,246,varm,4
2358,173,244,varm,4
2359,174,243,varm,4
2360,173,238,varm,4
2361,173,233,varm,4
2362,173,237,varm,4
2363,173,233,varm,4
2364,173,230,varm,4
2365,173,235,varm,4
2366,173,236,varm,4
2367,173,232,varm,4
2368,172,230,varm,4
2369,172,231,varm,4
2370,172,232,varm,4
2371,172,231,varm,4
2372,172,229,varm,4
2373,172,225,varm,4
2374,172,231,varm,4
2375,172,232,varm,4
2376,172,235,varm,4
2377,173,231,varm,4
2378,173,231,varm,4
2379,173,233,varm,4
2380,174,239,varm,4
2381,174,236,varm,4
2382,174,240,varm,4
2383,173,237,varm,4
2384,174,233,varm,4
2385,175,226,varm,4
2386,174,226,varm,4
2387,175,223,varm,4
2388,174,226,varm,4
2389,175,224,varm,4
2390,175,225,varm,4
2391,175,224,varm,4
2392,175,223,varm,4
2393,175,233,varm,4
2394,175,246,varm,4
2395,175,247,varm,4
2396,174,229,varm,4
2397,174,220,varm,4
2398,174,221,varm,4
2399,174,219,varm,4
2400,174,229,varm,NA
2401,174,229,varm,NA
2402,173,240,varm,NA
2403,173,250,varm,NA
2404,173,92,varm,NA
2405,173,36,varm,NA
2406,173,38,varm,NA
2407,173,33,varm,NA
2408,173,99,varm,NA
2409,173,102,varm,NA
2410,173,102,varm,NA
2411,173,101,varm,NA
2412,173,100,varm,NA
2413,172,102,varm,NA
2414,172,119,varm,NA
2415,172,115,varm,NA
2416,171,120,varm,NA
2417,172,120,varm,NA
2418,172,121,varm,NA
2419,171,121,varm,NA
2420,171,122,varm,NA
2421,172,120,varm,NA
2422,172,117,varm,NA
2423,172,116,varm,NA
2424,172,105,varm,NA
2425,173,110,varm,NA
2426,173,119,varm,NA
2427,172,120,varm,NA
2428,171,120,varm,NA
2429,171,118,varm,NA
2430,170,114,varm,NA
2431,170,120,varm,NA
2432,169,121,varm,NA
2433,169,122,varm,NA
2434,169,122,varm,NA
2435,169,128,varm,NA
2436,168,126,varm,NA
2437,168,116,varm,NA
2438,168,37,varm,NA
2439,167,74,varm,NA
2440,166,117,varm,NA
2441,165,121,varm,NA
2442,162,125,varm,NA
2443,162,125,varm,NA
2444,161,126,varm,NA
2445,161,127,varm,NA
2446,160,129,varm,NA
2447,159,125,varm,NA
2448,158,131,varm,NA
2449,156,133,varm,NA
2450,156,133,varm,NA
2451,154,143,varm,NA
2452,154,138,varm,NA
2453,154,138,varm,NA
2454,155,140,varm,NA
2455,155,139,varm,NA
2456,155,138,varm,NA
2457,155,139,varm,NA
2458,155,137,varm,NA
2459,155,136,varm,NA
2460,155,140,varm,NA
2461,154,136,varm,NA
2462,154,135,varm,NA
2463,154,131,varm,NA
2464,154,134,varm,NA
2465,154,136,varm,NA
2466,154,136,varm,NA
2467,153,137,varm,NA
2468,153,138,varm,NA
2469,152,137,varm,NA
2470,152,137,varm,NA
2471,151,134,varm,NA
2472,151,133,varm,NA
2473,151,133,varm,NA
2474,151,126,varm,NA
